Capitulo,Palavras,Genero,Testamento,Livro,Livro_Abrev,Capitulo_Num
MT 5,956,Evangelho,Novo,Mateus,mt,5
MT 6,762,Evangelho,Novo,Mateus,mt,6
MT 7,550,Evangelho,Novo,Mateus,mt,7
MT 8,642,Evangelho,Novo,Mateus,mt,8
MT 9,705,Evangelho,Novo,Mateus,mt,9
MT 10,792,Evangelho,Novo,Mateus,mt,10
MT 11,601,Evangelho,Novo,Mateus,mt,11
MT 12,991,Evangelho,Novo,Mateus,mt,12
MT 13,1194,Evangelho,Novo,Mateus,mt,13
MT 14,605,Evangelho,Novo,Mateus,mt,14
MT 15,685,Evangelho,Novo,Mateus,mt,15
MT 16,615,Evangelho,Novo,Mateus,mt,16
MT 17,567,Evangelho,Novo,Mateus,mt,17
MT 18,753,Evangelho,Novo,Mateus,mt,18
MT 19,601,Evangelho,Novo,Mateus,mt,19
MT 20,662,Evangelho,Novo,Mateus,mt,20
MT 21,960,Evangelho,Novo,Mateus,mt,21
MT 22,776,Evangelho,Novo,Mateus,mt,22
MT 23,792,Evangelho,Novo,Mateus,mt,23
MT 24,879,Evangelho,Novo,Mateus,mt,24
MT 25,865,Evangelho,Novo,Mateus,mt,25
MT 26,1439,Evangelho,Novo,Mateus,mt,26
MT 27,1177,Evangelho,Novo,Mateus,mt,27
MT 28,388,Evangelho,Novo,Mateus,mt,28
MC 1,773,Evangelho,Novo,Marcos,mc,1
MC 2,593,Evangelho,Novo,Marcos,mc,2
MC 3,627,Evangelho,Novo,Marcos,mc,3
MC 4,773,Evangelho,Novo,Marcos,mc,4
MC 5,814,Evangelho,Novo,Marcos,mc,5
MC 6,1091,Evangelho,Novo,Marcos,mc,6
MC 7,741,Evangelho,Novo,Marcos,mc,7
MC 8,728,Evangelho,Novo,Marcos,mc,8
MC 9,986,Evangelho,Novo,Marcos,mc,9
MC 10,1017,Evangelho,Novo,Marcos,mc,10
MC 11,617,Evangelho,Novo,Marcos,mc,11
MC 12,946,Evangelho,Novo,Marcos,mc,12
MC 13,659,Evangelho,Novo,Marcos,mc,13
MC 14,1383,Evangelho,Novo,Marcos,mc,14
MC 15,799,Evangelho,Novo,Marcos,mc,15
MC 16,368,Evangelho,Novo,Marcos,mc,16
LC 1,1295,Evangelho,Novo,Lucas,lc,1
LC 2,946,Evangelho,Novo,Lucas,lc,2
LC 3,729,Evangelho,Novo,Lucas,lc,3
LC 4,846,Evangelho,Novo,Lucas,lc,4
LC 5,825,Evangelho,Novo,Lucas,lc,5
LC 6,1056,Evangelho,Novo,Lucas,lc,6
LC 7,1035,Evangelho,Novo,Lucas,lc,7
LC 8,1234,Evangelho,Novo,Lucas,lc,8
LC 9,1282,Evangelho,Novo,Lucas,lc,9
LC 10,876,Evangelho,Novo,Lucas,lc,10
LC 11,1170,Evangelho,Novo,Lucas,lc,11
LC 12,1219,Evangelho,Novo,Lucas,lc,12
LC 13,733,Evangelho,Novo,Lucas,lc,13
LC 14,719,Evangelho,Novo,Lucas,lc,14
LC 15,644,Evangelho,Novo,Lucas,lc,15
LC 16,716,Evangelho,Novo,Lucas,lc,16
LC 17,657,Evangelho,Novo,Lucas,lc,17
LC 18,769,Evangelho,Novo,Lucas,lc,18
LC 19,856,Evangelho,Novo,Lucas,lc,19
LC 20,858,Evangelho,Novo,Lucas,lc,20
LC 21,659,Evangelho,Novo,Lucas,lc,21
LC 22,1236,Evangelho,Novo,Lucas,lc,22
LC 23,967,Evangelho,Novo,Lucas,lc,23
LC 24,918,Evangelho,Novo,Lucas,lc,24
JO 1,917,Evangelho,Novo,João,jo,1
JO 2,469,Evangelho,Novo,João,jo,2
JO 3,703,Evangelho,Novo,João,jo,3
JO 4,1021,Evangelho,Novo,João,jo,4
JO 5,922,Evangelho,Novo,João,jo,5
JO 6,1317,Evangelho,Novo,João,jo,6
JO 7,938,Evangelho,Novo,João,jo,7
JO 8,1166,Evangelho,Novo,João,jo,8
JO 9,749,Evangelho,Novo,João,jo,9
JO 10,737,Evangelho,Novo,João,jo,10
JO 11,969,Evangelho,Novo,João,jo,11
JO 12,974,Evangelho,Novo,João,jo,12
JO 13,743,Evangelho,Novo,João,jo,13
JO 14,625,Evangelho,Novo,João,jo,14
JO 15,550,Evangelho,Novo,João,jo,15
JO 16,679,Evangelho,Novo,João,jo,16
JO 17,542,Evangelho,Novo,João,jo,17
JO 18,820,Evangelho,Novo,João,jo,18
JO 19,941,Evangelho,Novo,João,jo,19
JO 20,630,Evangelho,Novo,João,jo,20
JO 21,599,Evangelho,Novo,João,jo,21
ATOS 1,583,Outros,Novo,Atos,atos,1
ATOS 2,877,Outros,Novo,Atos,atos,2
ATOS 3,558,Outros,Novo,Atos,atos,3
ATOS 4,760,Outros,Novo,Atos,atos,4
ATOS 5,898,Outros,Novo,Atos,atos,5
ATOS 6,319,Outros,Novo,Atos,atos,6
ATOS 7,1270,Outros,Novo,Atos,atos,7
ATOS 8,774,Outros,Novo,Atos,atos,8
ATOS 9,880,Outros,Novo,Atos,atos,9
ATOS 10,944,Outros,Novo,Atos,atos,10
ATOS 11,575,Outros,Novo,Atos,atos,11
ATOS 12,585,Outros,Novo,Atos,atos,12
ATOS 13,1057,Outros,Novo,Atos,atos,13
ATOS 14,569,Outros,Novo,Atos,atos,14
ATOS 15,805,Outros,Novo,Atos,atos,15
ATOS 16,839,Outros,Novo,Atos,atos,16
ATOS 17,800,Outros,Novo,Atos,atos,17
ATOS 18,599,Outros,Novo,Atos,atos,18
ATOS 19,903,Outros,Novo,Atos,atos,19
ATOS 20,758,Outros,Novo,Atos,atos,20
ATOS 21,877,Outros,Novo,Atos,atos,21
ATOS 22,628,Outros,Novo,Atos,atos,22
ATOS 23,771,Outros,Novo,Atos,atos,23
ATOS 24,594,Outros,Novo,Atos,atos,24
ATOS 25,647,Outros,Novo,Atos,atos,25
ATOS 26,745,Outros,Novo,Atos,atos,26
ATOS 27,962,Outros,Novo,Atos,atos,27
ATOS 28,736,Outros,Novo,Atos,atos,28
RM 1,700,EpistolasPaulinas,Novo,Romanos,rm,1
RM 2,576,EpistolasPaulinas,Novo,Romanos,rm,2
RM 3,524,EpistolasPaulinas,Novo,Romanos,rm,3
RM 4,539,EpistolasPaulinas,Novo,Romanos,rm,4
RM 5,514,EpistolasPaulinas,Novo,Romanos,rm,5
RM 6,480,EpistolasPaulinas,Novo,Romanos,rm,6
RM 7,598,EpistolasPaulinas,Novo,Romanos,rm,7
RM 8,837,EpistolasPaulinas,Novo,Romanos,rm,8
RM 9,655,EpistolasPaulinas,Novo,Romanos,rm,9
RM 10,428,EpistolasPaulinas,Novo,Romanos,rm,10
RM 11,716,EpistolasPaulinas,Novo,Romanos,rm,11
RM 12,424,EpistolasPaulinas,Novo,Romanos,rm,12
RM 13,349,EpistolasPaulinas,Novo,Romanos,rm,13
RM 14,512,EpistolasPaulinas,Novo,Romanos,rm,14
RM 15,728,EpistolasPaulinas,Novo,Romanos,rm,15
RM 16,488,EpistolasPaulinas,Novo,Romanos,rm,16
1CO 1,624,EpistolasPaulinas,Novo,1 Coríntios,1co,1
1CO 2,352,EpistolasPaulinas,Novo,1 Coríntios,1co,2
1CO 3,432,EpistolasPaulinas,Novo,1 Coríntios,1co,3
1CO 4,476,EpistolasPaulinas,Novo,1 Coríntios,1co,4
1CO 5,293,EpistolasPaulinas,Novo,1 Coríntios,1co,5
1CO 6,437,EpistolasPaulinas,Novo,1 Coríntios,1co,6
1CO 7,922,EpistolasPaulinas,Novo,1 Coríntios,1co,7
1CO 8,281,EpistolasPaulinas,Novo,1 Coríntios,1co,8
1CO 9,634,EpistolasPaulinas,Novo,1 Coríntios,1co,9
1CO 10,620,EpistolasPaulinas,Novo,1 Coríntios,1co,10
1CO 11,672,EpistolasPaulinas,Novo,1 Coríntios,1co,11
1CO 12,597,EpistolasPaulinas,Novo,1 Coríntios,1co,12
1CO 13,243,EpistolasPaulinas,Novo,1 Coríntios,1co,13
1CO 14,794,EpistolasPaulinas,Novo,1 Coríntios,1co,14
1CO 15,1099,EpistolasPaulinas,Novo,1 Coríntios,1co,15
1CO 16,417,EpistolasPaulinas,Novo,1 Coríntios,1co,16
2CO 1,574,EpistolasPaulinas,Novo,2 Coríntios,2co,1
2CO 2,344,EpistolasPaulinas,Novo,2 Coríntios,2co,2
2CO 3,378,EpistolasPaulinas,Novo,2 Coríntios,2co,3
2CO 4,392,EpistolasPaulinas,Novo,2 Coríntios,2co,4
2CO 5,449,EpistolasPaulinas,Novo,2 Coríntios,2co,5
2CO 6,339,EpistolasPaulinas,Novo,2 Coríntios,2co,6
2CO 7,411,EpistolasPaulinas,Novo,2 Coríntios,2co,7
2CO 8,545,EpistolasPaulinas,Novo,2 Coríntios,2co,8
2CO 9,388,EpistolasPaulinas,Novo,2 Coríntios,2co,9
2CO 10,411,EpistolasPaulinas,Novo,2 Coríntios,2co,10
2CO 11,683,EpistolasPaulinas,Novo,2 Coríntios,2co,11
2CO 12,536,EpistolasPaulinas,Novo,2 Coríntios,2co,12
2CO 13,300,EpistolasPaulinas,Novo,2 Coríntios,2co,13
GL 1,432,EpistolasPaulinas,Novo,Gálatas,gl,1
GL 2,492,EpistolasPaulinas,Novo,Gálatas,gl,2
GL 3,601,EpistolasPaulinas,Novo,Gálatas,gl,3
GL 4,581,EpistolasPaulinas,Novo,Gálatas,gl,4
GL 5,422,EpistolasPaulinas,Novo,Gálatas,gl,5
GL 6,331,EpistolasPaulinas,Novo,Gálatas,gl,6
EF 1,474,EpistolasPaulinas,Novo,Efésios,ef,1
EF 2,421,EpistolasPaulinas,Novo,Efésios,ef,2
EF 3,399,EpistolasPaulinas,Novo,Efésios,ef,3
EF 4,607,EpistolasPaulinas,Novo,Efésios,ef,4
EF 5,548,EpistolasPaulinas,Novo,Efésios,ef,5
EF 6,452,EpistolasPaulinas,Novo,Efésios,ef,6
FP 1,629,EpistolasPaulinas,Novo,Filipenses,fp,1
FP 2,562,EpistolasPaulinas,Novo,Filipenses,fp,2
FP 3,466,EpistolasPaulinas,Novo,Filipenses,fp,3
FP 4,482,EpistolasPaulinas,Novo,Filipenses,fp,4
CL 1,637,EpistolasPaulinas,Novo,Colossenses,cl,1
CL 2,509,EpistolasPaulinas,Novo,Colossenses,cl,2
CL 3,459,EpistolasPaulinas,Novo,Colossenses,cl,3
CL 4,376,EpistolasPaulinas,Novo,Colossenses,cl,4
1TS 1,254,EpistolasPaulinas,Novo,1 Tessalonicenses,1ts,1
1TS 2,473,EpistolasPaulinas,Novo,1 Tessalonicenses,1ts,2
1TS 3,290,EpistolasPaulinas,Novo,1 Tessalonicenses,1ts,3
1TS 4,371,EpistolasPaulinas,Novo,1 Tessalonicenses,1ts,4
1TS 5,396,EpistolasPaulinas,Novo,1 Tessalonicenses,1ts,5
2TS 1,288,EpistolasPaulinas,Novo,2 Tessalonicenses,2ts,1
2TS 2,387,EpistolasPaulinas,Novo,2 Tessalonicenses,2ts,2
2TS 3,335,EpistolasPaulinas,Novo,2 Tessalonicenses,2ts,3
1TM 1,439,EpistolasPaulinas,Novo,1 Timóteo,1tm,1
1TM 2,250,EpistolasPaulinas,Novo,1 Timóteo,1tm,2
1TM 3,287,EpistolasPaulinas,Novo,1 Timóteo,1tm,3
1TM 4,294,EpistolasPaulinas,Novo,1 Timóteo,1tm,4
1TM 5,509,EpistolasPaulinas,Novo,1 Timóteo,1tm,5
1TM 6,494,EpistolasPaulinas,Novo,1 Timóteo,1tm,6
2TM 1,393,EpistolasPaulinas,Novo,2 Timóteo,2tm,1
2TM 2,491,EpistolasPaulinas,Novo,2 Timóteo,2tm,2
2TM 3,301,EpistolasPaulinas,Novo,2 Timóteo,2tm,3
2TM 4,389,EpistolasPaulinas,Novo,2 Timóteo,2tm,4
TT 1,356,EpistolasPaulinas,Novo,Tito,tt,1
TT 2,313,EpistolasPaulinas,Novo,Tito,tt,2
TT 3,329,EpistolasPaulinas,Novo,Tito,tt,3
FM 1,426,EpistolasPaulinas,Novo,Filemom,fm,1
HB 1,307,EpistolasGerais,Novo,Hebreus,hb,1
HB 2,425,EpistolasGerais,Novo,Hebreus,hb,2
HB 3,367,EpistolasGerais,Novo,Hebreus,hb,3
HB 4,400,EpistolasGerais,Novo,Hebreus,hb,4
HB 5,289,EpistolasGerais,Novo,Hebreus,hb,5
HB 6,408,EpistolasGerais,Novo,Hebreus,hb,6
HB 7,557,EpistolasGerais,Novo,Hebreus,hb,7
HB 8,338,EpistolasGerais,Novo,Hebreus,hb,8
HB 9,709,EpistolasGerais,Novo,Hebreus,hb,9
HB 10,725,EpistolasGerais,Novo,Hebreus,hb,10
HB 11,865,EpistolasGerais,Novo,Hebreus,hb,11
HB 12,644,EpistolasGerais,Novo,Hebreus,hb,12
HB 13,508,EpistolasGerais,Novo,Hebreus,hb,13
TG 1,528,EpistolasGerais,Novo,Tiago,tg,1
TG 2,525,EpistolasGerais,Novo,Tiago,tg,2
TG 3,364,EpistolasGerais,Novo,Tiago,tg,3
TG 4,352,EpistolasGerais,Novo,Tiago,tg,4
TG 5,442,EpistolasGerais,Novo,Tiago,tg,5
1PE 1,598,EpistolasGerais,Novo,1 Pedro,1pe,1
1PE 2,534,EpistolasGerais,Novo,1 Pedro,1pe,2
1PE 3,511,EpistolasGerais,Novo,1 Pedro,1pe,3
1PE 4,420,EpistolasGerais,Novo,1 Pedro,1pe,4
1PE 5,310,EpistolasGerais,Novo,1 Pedro,1pe,5
2PE 1,466,EpistolasGerais,Novo,2 Pedro,2pe,1
2PE 2,534,EpistolasGerais,Novo,2 Pedro,2pe,2
2PE 3,435,EpistolasGerais,Novo,2 Pedro,2pe,3
1JO 1,218,EpistolasGerais,Novo,1 João,1jo,1
1JO 2,629,EpistolasGerais,Novo,1 João,1jo,2
1JO 3,515,EpistolasGerais,Novo,1 João,1jo,3
1JO 4,453,EpistolasGerais,Novo,1 João,1jo,4
1JO 5,455,EpistolasGerais,Novo,1 João,1jo,5
2JO 1,286,EpistolasGerais,Novo,2 João,2jo,1
3JO 1,297,EpistolasGerais,Novo,3 João,3jo,1
JD 1,601,EpistolasGerais,Novo,Judas,jd,1
AP 1,522,Apocaliptico,Novo,Apocalipse,ap,1
AP 2,732,Apocaliptico,Novo,Apocalipse,ap,2
AP 3,577,Apocaliptico,Novo,Apocalipse,ap,3
AP 4,322,Apocaliptico,Novo,Apocalipse,ap,4
AP 5,380,Apocaliptico,Novo,Apocalipse,ap,5
AP 6,450,Apocaliptico,Novo,Apocalipse,ap,6
AP 7,412,Apocaliptico,Novo,Apocalipse,ap,7
AP 8,344,Apocaliptico,Novo,Apocalipse,ap,8
AP 9,503,Apocaliptico,Novo,Apocalipse,ap,9
AP 10,328,Apocaliptico,Novo,Apocalipse,ap,10
AP 11,514,Apocaliptico,Novo,Apocalipse,ap,11
AP 12,469,Apocaliptico,Novo,Apocalipse,ap,12
AP 13,460,Apocaliptico,Novo,Apocalipse,ap,13
AP 14,576,Apocaliptico,Novo,Apocalipse,ap,14
AP 15,236,Apocaliptico,Novo,Apocalipse,ap,15
AP 16,518,Apocaliptico,Novo,Apocalipse,ap,16
AP 17,481,Apocaliptico,Novo,Apocalipse,ap,17
AP 18,670,Apocaliptico,Novo,Apocalipse,ap,18
AP 19,563,Apocaliptico,Novo,Apocalipse,ap,19
AP 20,436,Apocaliptico,Novo,Apocalipse,ap,20
AP 21,659,Apocaliptico,Novo,Apocalipse,ap,21
AP 22,495,Apocaliptico,Novo,Apocalipse,ap,22
